DATE,TOTAL
12/31/2019,398
12/28/2019,254
12/27/2019,178
12/25/2019,77
12/24/2019,366
12/21/2019,303
12/20/2019,221
12/19/2019,184
12/18/2019,264
12/17/2019,423
12/14/2019,210
12/13/2019,189
12/12/2019,133
12/11/2019,194
12/10/2019,513
12/7/2019,213
12/6/2019,272
12/5/2019,174
12/4/2019,215
12/3/2019,493
11/30/2019,310
11/29/2019,189
11/28/2019,163
11/27/2019,263
11/26/2019,456
11/23/2019,244
11/22/2019,189
11/21/2019,158
11/20/2019,270
11/19/2019,454
11/16/2019,285
11/15/2019,189
11/14/2019,254
11/13/2019,602
11/12/2019,396
11/9/2019,170
11/8/2019,158
11/7/2019,177
11/6/2019,254
11/5/2019,396
11/2/2019,167
11/1/2019,92
10/31/2019,108
10/30/2019,173
10/29/2019,262
10/26/2019,211
10/25/2019,217
10/23/2019,244
10/22/2019,189
10/21/2019,158
10/20/2019,270
10/19/2019,454
10/16/2019,285
10/15/2019,316
10/12/2019,191
10/11/2019,138
10/10/2019,126
10/9/2019,128
10/8/2019,316
10/5/2019,191
10/4/2019,144
10/3/2019,192
10/2/2019,298
10/1/2019,737
