DATE,TOTAL
12/31/19,14035
12/28/19,18513
12/27/19,21492
12/25/19,22543
12/24/19,12583
12/21/19,13511
12/20/19,17411
12/19/19,25766
12/18/19,23621
12/17/19,11436
12/14/19,14851
12/13/19,17545
12/12/19,31717
12/11/19,22830
12/10/19,13519
12/7/19,15268
12/6/19,16611
12/5/19,24928
12/4/19,28360
12/3/19,14343
11/30/19,12854
11/29/19,16652
11/28/19,19620
11/27/19,22423
11/26/19,11639
11/23/19,14241
11/22/19,16652
11/21/19,23312
11/20/19,28073
11/19/19,12742
11/16/19,15393
11/15/19,16652
11/14/19,30536
11/13/19,19841
11/12/19,15835
11/9/19,13708
11/8/19,16026
11/7/19,22490
11/6/19,23054
11/5/19,15835
11/2/19,11950
11/1/19,15760
10/31/19,21715
10/30/19,22477
10/29/19,12536
10/26/19,13914
10/25/19,16295
10/23/19,14241
10/22/19,16652
10/21/19,23312
10/20/19,28073
10/19/19,12742
10/16/19,15393
10/15/19,12009
10/12/19,14412
10/11/19,16110
10/10/19,28792
10/9/19,23399
10/8/19,12009
10/5/19,15223
10/4/19,18711
10/3/19,27910
10/2/19,20518
10/1/19,11795
