DATE,TOTAL
12/31/2019,5521
12/28/2019,2251
12/27/2019,5185
12/25/2019,1915
12/24/2019,5469
12/21/2019,2004
12/20/2019,1783
12/19/2019,1735
12/18/2019,1760
12/17/2019,5140
12/14/2019,1813
12/13/2019,1680
12/12/2019,1642
12/11/2019,1627
12/10/2019,4745
12/7/2019,1874
12/6/2019,1634
12/5/2019,1634
12/4/2019,1862
12/3/2019,5481
11/30/2019,3381
11/29/2019,1636
11/28/2019,1719
11/27/2019,1676
11/26/2019,4758
11/23/2019,1770
11/22/2019,1636
11/21/2019,1631
11/20/2019,1697
11/19/2019,4916
11/16/2019,1328
11/15/2019,1636
11/14/2019,1619
11/13/2019,5954
11/12/2019,5262
11/9/2019,1738
11/8/2019,1679
11/7/2019,1675
11/6/2019,1756
11/5/2019,5262
11/2/2019,2065
11/1/2019,1761
10/31/2019,1775
10/30/2019,1735
10/29/2019,4901
10/26/2019,1983
10/25/2019,1908
10/23/2019,1770
10/22/2019,1636
10/21/2019,1631
10/20/2019,1697
10/19/2019,4916
10/16/2019,1328
10/15/2019,5360
10/12/2019,2597
10/11/2019,2675
10/10/2019,2939
10/9/2019,2884
10/8/2019,5360
