DATE,TOTAL
12/31/2019,958
12/28/2019,2719
12/27/2019,1380
12/25/2019,1472
12/24/2019,1003
12/21/2019,2890
12/20/2019,1121
12/19/2019,889
12/18/2019,633
12/17/2019,1017
12/14/2019,2635
12/13/2019,1198
12/12/2019,780
12/11/2019,395
12/10/2019,1129
12/7/2019,2440
12/6/2019,1290
12/5/2019,885
12/4/2019,592
12/3/2019,2205
11/30/2019,1345
11/29/2019,1865
11/28/2019,1944
11/27/2019,445
11/26/2019,666
11/23/2019,2720
11/22/2019,1865
11/21/2019,601
11/20/2019,281
11/19/2019,298
11/16/2019,1903
11/15/2019,1865
11/14/2019,968
11/13/2019,320
11/12/2019,353
11/9/2019,2661
11/8/2019,846
11/7/2019,659
11/6/2019,548
11/5/2019,353
11/2/2019,2563
11/1/2019,870
10/31/2019,1191
10/30/2019,372
10/29/2019,424
10/26/2019,3047
10/25/2019,1019
10/23/2019,2720
10/22/2019,1865
10/21/2019,601
10/20/2019,281
10/19/2019,298
10/16/2019,1903
10/15/2019,1317
10/12/2019,3223
10/11/2019,1195
10/10/2019,640
10/9/2019,551
10/8/2019,1317
10/5/2019,2103
10/4/2019,643
10/3/2019,670
10/2/2019,1489
10/1/2019,721
