DATE,TOTAL
12/31/2019,207
12/28/2019,67
12/27/2019,140
12/25/2019,94
12/24/2019,201
12/21/2019,102
12/20/2019,114
12/19/2019,83
12/18/2019,96
12/17/2019,264
12/14/2019,124
12/13/2019,87
12/12/2019,98
12/11/2019,107
12/10/2019,291
12/7/2019,126
12/6/2019,107
12/5/2019,148
12/4/2019,104
12/3/2019,347
11/30/2019,233
11/29/2019,102
11/28/2019,109
11/27/2019,115
11/26/2019,283
11/23/2019,101
11/22/2019,102
11/21/2019,111
11/20/2019,112
11/19/2019,351
11/16/2019,65
11/15/2019,102
11/14/2019,103
11/13/2019,479
11/12/2019,659
11/9/2019,52
11/8/2019,59
11/7/2019,119
11/6/2019,119
11/5/2019,659
11/2/2019,177
11/1/2019,238
10/31/2019,139
10/30/2019,190
10/29/2019,617
10/26/2019,173
10/25/2019,224
10/23/2019,101
10/22/2019,102
10/21/2019,111
10/20/2019,112
10/19/2019,351
10/16/2019,65
10/15/2019,1913
10/12/2019,202
10/11/2019,261
10/10/2019,227
10/9/2019,238
10/8/2019,1913
10/5/2019,200
10/4/2019,223
10/3/2019,210
10/2/2019,276
10/1/2019,920
