DATE,TOTAL
12/31/2019,1830
12/28/2019,4870
12/27/2019,2876
12/25/2019,3842
12/24/2019,1517
12/21/2019,1561
12/20/2019,1669
12/19/2019,2494
12/18/2019,3440
12/17/2019,1651
12/14/2019,1781
12/13/2019,1752
12/12/2019,3089
12/11/2019,4996
12/10/2019,2065
12/7/2019,112
12/6/2019,1554
12/5/2019,1815
12/4/2019,3383
12/3/2019,2618
11/30/2019,1609
11/29/2019,2418
11/28/2019,2309
11/27/2019,6185
11/26/2019,1535
11/23/2019,1488
11/22/2019,2418
11/21/2019,4604
11/20/2019,355
11/19/2019,1583
11/16/2019,1666
11/15/2019,2418
11/14/2019,6463
11/13/2019,2818
11/12/2019,1386
11/9/2019,1275
11/8/2019,1349
11/7/2019,1838
11/6/2019,2956
11/5/2019,1386
11/2/2019,1732
11/1/2019,2013
10/31/2019,2478
10/30/2019,4051
10/29/2019,1656
10/26/2019,2125
10/25/2019,4266
10/23/2019,1488
10/22/2019,2418
10/21/2019,4604
10/20/2019,355
10/19/2019,1583
10/16/2019,1666
10/15/2019,1252
10/12/2019,1571
10/11/2019,1720
10/10/2019,4100
10/9/2019,3099
10/8/2019,1252
10/5/2019,1349
10/4/2019,1520
10/3/2019,2041
10/2/2019,3624
