DATE,TOTAL
12/31/2019,10698
12/28/2019,6104
12/27/2019,6383
12/25/2019,5472
12/24/2019,13376
12/21/2019,7828
12/20/2019,5072
12/19/2019,4425
12/18/2019,4442
12/17/2019,12296
12/14/2019,6672
12/13/2019,4323
12/12/2019,3776
12/11/2019,4338
12/10/2019,10349
12/7/2019,6144
12/6/2019,4637
12/5/2019,4278
12/4/2019,5060
12/3/2019,12421
11/30/2019,6615
11/29/2019,4035
11/28/2019,5672
11/27/2019,4449
11/26/2019,10233
11/23/2019,5955
11/22/2019,4035
11/21/2019,3749
11/20/2019,5081
11/19/2019,8513
11/16/2019,6637
11/15/2019,4035
11/14/2019,3977
11/13/2019,13415
11/12/2019,6457
11/9/2019,6056
11/8/2019,4259
11/7/2019,4200
11/6/2019,8793
11/5/2019,6457
11/2/2019,7317
11/1/2019,4837
10/31/2019,3881
10/30/2019,3724
10/29/2019,9621
10/26/2019,6013
10/25/2019,3840
10/23/2019,5955
10/22/2019,4035
10/21/2019,3749
10/20/2019,5081
10/19/2019,8513
10/16/2019,6637
10/15/2019,10759
10/12/2019,5859
10/11/2019,4340
10/10/2019,3628
10/9/2019,4528
10/8/2019,10759
10/5/2019,7053
10/4/2019,4940
10/3/2019,4878
10/2/2019,5559
10/1/2019,11324
