DATE,TOTAL
12/31/2019,5267
12/28/2019,2263
12/27/2019,3252
12/25/2019,1756
12/24/2019,5495
12/21/2019,2417
12/20/2019,2137
12/19/2019,2053
12/18/2019,2229
12/17/2019,5469
12/14/2019,2443
12/13/2019,2005
12/12/2019,2144
12/11/2019,2273
12/10/2019,5644
12/7/2019,2442
12/6/2019,2156
12/5/2019,2202
12/4/2019,2481
12/3/2019,6578
11/30/2019,3813
11/29/2019,1891
11/28/2019,2187
11/27/2019,2243
11/26/2019,5194
11/23/2019,2193
11/22/2019,1891
11/21/2019,1885
11/20/2019,2025
11/19/2019,4458
11/16/2019,2106
11/15/2019,1891
11/14/2019,1876
11/13/2019,6349
11/12/2019,5194
11/9/2019,2025
11/8/2019,1879
11/7/2019,1779
11/6/2019,2001
11/5/2019,5194
11/2/2019,2617
11/1/2019,2004
10/31/2019,1787
10/30/2019,1721
10/29/2019,4675
10/26/2019,2044
10/25/2019,1805
10/23/2019,2193
10/22/2019,1891
10/21/2019,1885
10/20/2019,2025
10/19/2019,4458
10/16/2019,2106
10/15/2019,5015
10/12/2019,2143
10/11/2019,1862
10/10/2019,1812
10/9/2019,1832
10/8/2019,5015
10/5/2019,2338
10/4/2019,2119
10/3/2019,2089
10/2/2019,2436
10/1/2019,5430
