DATE,TOTAL
12/31/2019,4549
12/28/2019,2009
12/27/2019,2419
12/25/2019,1129
12/24/2019,4019
12/21/2019,1855
12/20/2019,1678
12/19/2019,1753
12/18/2019,1898
12/17/2019,4364
12/14/2019,1855
12/13/2019,1779
12/12/2019,1965
12/11/2019,2160
12/10/2019,4914
12/7/2019,2012
12/6/2019,1892
12/5/2019,1975
12/4/2019,2201
12/3/2019,5024
11/30/2019,2662
11/29/2019,1955
11/28/2019,1948
11/27/2019,1976
11/26/2019,4854
11/23/2019,2156
11/22/2019,1955
11/21/2019,2133
11/20/2019,2334
11/19/2019,5199
11/16/2019,2101
11/15/2019,1955
11/14/2019,2321
11/13/2019,6080
11/12/2019,5176
11/9/2019,1940
11/8/2019,1904
11/7/2019,1940
11/6/2019,2153
11/5/2019,5176
11/2/2019,2100
11/1/2019,1757
10/31/2019,1868
10/30/2019,2091
10/29/2019,4672
10/26/2019,2123
10/25/2019,1799
10/23/2019,2156
10/22/2019,1955
10/21/2019,2133
10/20/2019,2334
10/19/2019,5199
10/16/2019,2101
10/15/2019,4417
10/12/2019,1869
10/11/2019,1756
10/10/2019,1918
10/9/2019,1909
10/8/2019,4417
10/5/2019,1896
10/4/2019,1897
10/3/2019,1983
10/2/2019,2213
